stationName,stationID
0-G8NO VIII - Moon 1 - Serpentis Corporation Manufacturing,60014862
0-W778 VII - Moon 2 - Serpentis Corporation Refining,60014885
0G-A25 VI - Moon 20 - True Power Mining Outpost,60014338
0IRK-R IX - Jove Navy Testing Facilities,60013636
0IRK-R VIII - Moon 3 - Jovian Directorate Academy,60013669
0LTQ-C V - Moon 18 - Intaki Space Police Assembly Plant,60013459
0M-M64 VI - Prosper Depository,60013885
0M-M64 VII - Moon 5 - Jovian Directorate Bureau,60013729
0N-3RO VII - Moon 14 - Blood Raiders Testing Facilities,60014950
0T-AMZ IX - Moon 6 - Aliastra Retail Center,60011218
0T-AMZ VII - Moon 10 - Aliastra Warehouse,60011215
0T-LIB V - Moon 5 - True Power Mining Outpost,60014320
0T-LIB V - Moon 6 - True Creations Testing Facilities,60014200
0Z-VHC VI - Moon 12 - Prosper Depository,60013897
0Z-VHC VI - Moon 12 - Shapeset Shipyard,60014032
1-NKVT X - Intaki Space Police Logistic Support,60013444
111-F1 VIII - Moon 3 - Republic Military School Refining,60014895
1C-TD6 VIII - Moon 2 - Jovian Directorate Treasury,60013720
1C-TD6 X - Moon 16 - Jovian Directorate Treasury,60013726
1C-TD6 X - Moon 4 - Jove Navy Testing Facilities,60013591
1DH-SX III - Moon 1 - Blood Raiders Logistic Support,60014945
1H4V-O II - Moon 1 - True Creations Shipyard,60014251
1H4V-O V - Moon 2 - True Power Logistic Support,60014365
1SR-HT I - Shapeset Storage Bay,60014020
1V-LI2 III - Moon 2 - Serpentis Corporation Cloning,60014911
2-RSC7 VI - Moon 2 - Serpentis Corporation Manufacturing,60014878
28Y9-P V - Moon 1 - Serpentis Corporation Manufacturing,60014865
2G38-I VI - Expert Distribution Warehouse,60002530
2G38-I VIII - Moon 9 - Expert Distribution Warehouse,60002527
2O-EEW IV - Moon 3 - Serpentis Corporation Cloning,60014915
2P-4LS VIII - Moon 10 - Quafe Company Factory,60009943
2P-4LS VIII - Moon 11 - Quafe Company Warehouse,60009949
2P-4LS VIII - Moon 7 - Quafe Company Warehouse,60009946
2RV-06 VIII - Moon 11 - Jovian Directorate Treasury,60013747
2X-PQG III - Moon 17 - Intaki Syndicate Academy,60013468
3-CE1R VIII - Moon 5 - Prosper Vault,60013903
3-XORH IV - Shapeset Shipyard,60014014
3-XORH VI - Moon 1 - Jovian Directorate Bureau,60013807
31-MLU IX - Moon 1 - Thukker Mix Factory,60014122
31-MLU X - Moon 8 - Intaki Syndicate Bureau,60013489
319-3D IX - Moon 22 - Blood Raiders Logistic Support,60014951
35-RK9 IX - Moon 4 - Intaki Syndicate Bureau,60013540
